epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,109.219,1.31239,1.93523,1.41904,0.59515,0.50481,0.53789,0.33873,1.53028,1.64738,1.45734,0.00998175,0.00332725,0.00998175,0.00332725,0.00998175,0.00332725,0.00998175,0.00332725
2,189.38,1.20712,1.31011,1.32054,0.57399,0.46179,0.50102,0.30165,1.6613,1.76047,1.52701,0.0197839,0.00659464,0.0197839,0.00659464,0.0197839,0.00659464,0.0197839,0.00659464
3,261.261,1.32629,1.46638,1.396,0.52019,0.44983,0.43776,0.24362,1.81073,1.99413,1.65468,0.0293881,0.00979604,0.0293881,0.00979604,0.0293881,0.00979604,0.0293881,0.00979604
4,329.62,1.36547,1.5324,1.43761,0.51352,0.45624,0.48342,0.28261,1.77691,1.86888,1.63558,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,397.783,1.30842,1.42359,1.39567,0.6624,0.51763,0.57741,0.36124,1.6311,1.59382,1.51388,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,466.152,1.25236,1.34069,1.3618,0.60852,0.53363,0.57663,0.35235,1.61817,1.58681,1.48877,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,534.495,1.22345,1.27148,1.34006,0.66824,0.58856,0.61327,0.39047,1.51733,1.46778,1.41641,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,603.313,1.1918,1.23133,1.32495,0.65735,0.5692,0.61347,0.39268,1.4821,1.43953,1.4114,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,671.488,1.16405,1.17133,1.30135,0.67845,0.63166,0.66638,0.42889,1.45679,1.35635,1.3846,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,740.064,1.13557,1.12341,1.27686,0.70456,0.61132,0.67048,0.45125,1.37657,1.33144,1.3124,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,808.688,1.10997,1.09634,1.26283,0.72938,0.62229,0.68164,0.45005,1.42037,1.27719,1.32545,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,877.604,1.10544,1.06771,1.25705,0.68918,0.63679,0.68312,0.45894,1.35458,1.25185,1.32365,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,946.499,1.08716,1.04861,1.24807,0.7166,0.64838,0.69661,0.47303,1.35836,1.20609,1.30098,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1015.3,1.06265,1.01437,1.23331,0.74324,0.6524,0.70868,0.47946,1.34641,1.20239,1.31414,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1084,1.04862,1.00121,1.21991,0.7308,0.67143,0.71479,0.49003,1.30908,1.17081,1.27113,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1152.21,1.03889,0.9779,1.21854,0.76544,0.68124,0.73353,0.49812,1.3144,1.18077,1.29611,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1221.56,1.0192,0.95048,1.19979,0.72155,0.69119,0.73318,0.50957,1.27902,1.15329,1.26708,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1290.57,1.01297,0.93525,1.19989,0.75425,0.6536,0.72289,0.49423,1.29345,1.14782,1.25303,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1359.66,1.00663,0.91839,1.19225,0.74439,0.6714,0.7327,0.50637,1.28169,1.11895,1.25234,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1428.37,0.98131,0.8981,1.1774,0.78117,0.67622,0.73745,0.50972,1.25424,1.10264,1.24232,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1496.86,0.98358,0.89712,1.17913,0.72396,0.69479,0.73265,0.50997,1.2388,1.09351,1.24247,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1565.94,0.98066,0.88746,1.177,0.7276,0.71194,0.74222,0.51412,1.24039,1.07633,1.23293,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1634.86,0.95971,0.87063,1.16328,0.80102,0.68444,0.76003,0.53273,1.22431,1.067,1.21437,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1703.07,0.96049,0.85835,1.15868,0.77007,0.68687,0.74998,0.52215,1.23146,1.06528,1.21795,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1771.65,0.94805,0.84096,1.15341,0.7901,0.67934,0.74756,0.52843,1.21756,1.04137,1.20655,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1839.64,0.93214,0.83173,1.14249,0.78461,0.7056,0.76002,0.52982,1.20749,1.04296,1.21935,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1908.13,0.92919,0.82238,1.14195,0.80844,0.7093,0.76348,0.53264,1.21433,1.02562,1.2128,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1976.92,0.91512,0.8084,1.13658,0.82485,0.69218,0.76458,0.54413,1.19269,1.00926,1.21218,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2045.72,0.91006,0.78605,1.1277,0.82051,0.69545,0.77292,0.54517,1.21601,0.99899,1.21144,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2114.67,0.90557,0.79254,1.12831,0.79599,0.71671,0.76366,0.53672,1.20075,1.01404,1.19406,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2183.72,0.89872,0.78088,1.12724,0.79327,0.70969,0.75358,0.53103,1.2133,1.02601,1.21786,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2252.42,0.8982,0.77765,1.12535,0.8094,0.70938,0.77395,0.55422,1.17198,0.98809,1.19689,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2321.55,0.88215,0.76271,1.11447,0.82738,0.71712,0.77588,0.54667,1.17518,0.99987,1.1836,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2390.82,0.88201,0.75913,1.11207,0.82547,0.69996,0.77163,0.55052,1.16618,0.98455,1.18887,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2460.1,0.87657,0.75955,1.11133,0.79307,0.73098,0.78325,0.56167,1.15403,0.975,1.17145,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2528.63,0.86509,0.74034,1.10588,0.79373,0.72915,0.77683,0.56237,1.16373,0.95293,1.17985,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2597.35,0.86929,0.73431,1.10539,0.84309,0.70601,0.7816,0.56157,1.16442,0.94194,1.16904,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2666.22,0.85308,0.72275,1.10039,0.80588,0.73688,0.78767,0.56194,1.15557,0.93976,1.17877,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2734.96,0.84583,0.71499,1.09344,0.79944,0.73808,0.78146,0.56091,1.16777,0.95444,1.1856,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2803.73,0.8513,0.716,1.09494,0.82266,0.72178,0.7813,0.56251,1.16451,0.92872,1.18487,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
